review_id,reviewer_nickname,reviewer_location,room_type,number_nights,trip_type,stay_date,review_date,review_title,positive_review_text,negative_review_text,photos,rating,id_property,insert_time,,,,,,
54,Sofiia,Ukraine,Twin Room with Private Bathroom,7,Family,Mar-22,20-Apr-22,Great hostel on a budget,"This hostel has everything that a tourist on a budget can look for: it's relatively inexpensive while having many advantages: it's located not far from the city centre, there are also a few restaurants, cafes and supermarkets within walking distance, it has friendly staff ready to help you resolve any problems. The rooms are nice and clear, and a common kitchen is available. Overall, it is a very good hostel, and if you are looking for a relatively inexpensive but comfortable place to stay.",,0,10,278,6/23/2022 9:46,,,,,,
55,Nicolaj,Poland,Twin Room with Private Bathroom,1,Solo traveler,Apr-22,18-Apr-22,Good,,,0,7,278,6/23/2022 9:46,,,,,,
56,Pawel,Poland,Single Bed in 4-Bed Dormitory Room with Bathroom,1,Solo traveler,Mar-22,17-Apr-22,Disappointing,,,0,4,278,6/23/2022 9:46,,,,,,
57,Mario,Germany,Deluxe Twin Room with Private Bathroom,1,Family,Apr-22,15-Apr-22,Very Good,Location,Parking,0,8,278,6/23/2022 9:46,,,,,,
58,Diana,Ukraine,Twin Room with Private Bathroom,1,Solo traveler,Apr-22,14-Apr-22,Very Good,"Good location 
Clean
Nice staff",No towel in the room :(,0,8,278,6/23/2022 9:46,,,,,,
59,Pavel,Poland,Deluxe Double Room with Private Bathroom,5,Solo traveler,Apr-22,14-Apr-22,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
60,Sarey,Saudi Arabia,Deluxe Twin Room with Private Bathroom,2,Solo traveler,Mar-22,2-Apr-22,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
61,Sigmar,Estonia,Deluxe Twin Room with Private Bathroom,1,Group,Mar-22,30-Mar-22,Nice and simple place to stay,"Good location, friendly people. Good walking distance to the old town.",Parking on the street. Can be tricky to find a place.,0,8,278,6/23/2022 9:46,,,,,,
62,惟甄,Poland,Twin Room with Private Bathroom,3,Group,Mar-22,30-Mar-22,Very Good,The bathroom is clean,You can easily hear the voice from other rooms,0,8,278,6/23/2022 9:46,,,,,,
63,Denys,Ukraine,Single Bed in 4-Bed Dormitory Room with Bathroom,2,Group,Mar-22,29-Mar-22,Nice place to stay for some time with friends. But more like hotel than hostel.,"Simple, but cozy rooms with very nice private shower & toilet room. All is very clean. On kitchen there is all you need for cooking. There is simple coffee machine with free coffee.","No ""hostel vibe"""", where you meet new cool people and can have small talks. And there is no common place like lobby or big room to gather together, except kitchen. Kitchen is closed at night, so no midnight tea or access to your food in fridge. Only one fridge, better be two.Sound isolation not the greatest.",0,8,278,6/23/2022 9:46,,,,,,
64,William,United Kingdom,Bed in 6-Bed Dormitory Room,1,Solo traveler,Mar-22,29-Mar-22,Great,Great,Not applicable,0,10,278,6/23/2022 9:46,,,,,,
65,Farooq,Poland,Deluxe Double Room with Private Bathroom,8,Family,Mar-22,28-Mar-22,Bad,,,0,1,278,6/23/2022 9:46,,,,,,
66,Surayyo,Poland,Bed in 6-Bed Dormitory Room,1,Group,Mar-22,27-Mar-22,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
67,Yurii,United Kingdom,Twin Room with Private Bathroom,2,Family,Mar-22,22-Mar-22,Very Good,"Just only 1 towel for 2 persons, next day bring more.",,0,8,278,6/23/2022 9:46,,,,,,
68,Agata,Poland,Twin Room with Private Bathroom,1,Family,Dec-21,22-Mar-22,Wonderful,Lack of towels as the hostel didn't get enough fresh ones.,,0,9,278,6/23/2022 9:46,,,,,,
69,Taemin,South Korea,Twin Room with Private Bathroom,1,Couple,Jan-22,17-Mar-22,Wonderful,"Good price, kind staff, clean, good location. 
Recommend it",,0,9,278,6/23/2022 9:46,,,,,,
70,Jaroslaw,Poland,Deluxe Twin Room with Private Bathroom,1,Couple,Jan-22,16-Mar-22,Good accommodation for an overnight stay in Krakow,"The location was okay, the stuff was nice and the room was super clean. 
The kitchen was big and well equipped.","The room was super small for two people. Apart from this, all was good!",0,8,278,6/23/2022 9:46,,,,,,
71,Yulia,Czech Republic,Deluxe Single Room with Private Bathroom,1,Solo traveler,Mar-22,16-Mar-22,Good,,,0,7,278,6/23/2022 9:46,,,,,,
72,Jasmin,United States of America,Deluxe Twin Room with Private Bathroom,1,Solo traveler,Feb-22,11-Mar-22,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
73,Bermúdez,none,Bed in 6-Bed Dormitory Room,1,Solo traveler,Mar-22,5-Mar-22,Very Good,It's very clean and tidy. The place is a great deal for the price and is fairly close to the city center.,"I liked everything actually, complaints, maybe it would be nice to have curtains in the bunker beds",0,8,278,6/23/2022 9:46,,,,,,
74,Marta,Denmark,Deluxe Single Room with Private Bathroom,1,Solo traveler,Mar-22,4-Mar-22,"Simple design,clean and cheap hostel for short stay.",Simple and clean room for one night stay. Definitely it was worth the 10 hours i stayed over.,"The physical check-in was a failure. I have arrived after midnight and there was a note that between 11.30-12.30 no payment can be made. Even if while booking the room i have used my card and they could have charged me from it. i had to wait 20 minutes after a long journey and to realize that I only needed to say yes, they can charge me from the booking card. what a waist of 20 minutes after midnight?! 
Finally arrived in the room and no towels or shampoo. went down again and asked for a towel. at first the receptionist didn’t seemed very eager to do that and eventually she brought it to my room.
in the morning I picked the “Amazing” breakfast that the only good thing was the sandwich and no fruit as I would have to expected.
went to the common kitchen at 10 and was not able to take any drinks and it was filled with people… 
and like other reviews, the walls are very thin and after short night sleep, quite tricky to rest well.
definitely I’m disappointed about my experience.
but still a good hostel for short stay.",0,6,278,6/23/2022 9:46,,,,,,
75,Tomczyk,Poland,Standard Double Room with Private Bathroom,1,Couple,Feb-22,27-Feb-22,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
76,Dominic,United Kingdom,Twin Room with Private Bathroom,3,Group,Nov-21,1-Nov-21,Exceptional,"Room was good, property quiet and good value for money.",,0,9.6,278,6/23/2022 9:46,,,,,,
77,Irmina,United Kingdom,Standard Triple Room with Private Bathroom,2,Family,Oct-21,1-Nov-21,Wonderful,Nice atmosphere and cleanliness.,The pillow was partially humpy and rugged inside.,0,9,278,6/23/2022 9:46,,,,,,
78,Sotiria,Greece,Twin Room with Private Bathroom,4,Solo traveler,Oct-21,30-Oct-21,Not preferable choice and not good experience,Low budget room. It was near the old town of Krakow. Near a supermarket and the public transportation. 24h reception.,"We stayed 4 nights and the room was not cleaned even once and the towels/lining were not changed. When we left, we supposed that this happened because of covid, but they didn't inform us in order to ask for new towels. The room was too small and not comfortable. However, the m2 were mentioned on description but we couldn't image how small was it. Moreover, the lining and the curtains were dirty.",3,3,278,6/23/2022 9:46,,,,,,
79,Stepan,Ukraine,Deluxe Single Room with Private Bathroom,2,Solo traveler,Sep-21,27-Oct-21,Exceptional,,,0,10,278,6/23/2022 9:46,,,,,,
80,0leksandr,Poland,Bed in 8-Bed Dormitory Room with Private Bathroom,1,Solo traveler,Oct-21,27-Oct-21,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
81,Dawid,United Arab Emirates,Deluxe Single Room with Private Bathroom,2,Solo traveler,Oct-21,26-Oct-21,Very Poor,,,0,2,278,6/23/2022 9:46,,,,,,
82,Lidia,Hungary,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,2,Solo traveler,Oct-21,24-Oct-21,Definitely recommend,"Everything was clean, the staff was very helpful. And of course the location was perfect, I could easily visit almost everything by walk. The kitchen was fully equipped and there was always coffee and tea. I totally recommend and it is an excellent choice if you are traveling alone. I’m so happy that my first hostel experience was this good. 
If I will visit Krakow again, I would choose Premium Hostel for sure.",,1,10,278,6/23/2022 9:46,,,,,,
83,Vitor,Portugal,Deluxe Twin Room with Private Bathroom,1,Group,Oct-21,17-Oct-21,Very Good,"The hostel is pretty close to the old town in a very quiet street. The room was small (twin room) but was comfortable, and the bathroom was clean and spacious enough.",The Wifi signal was week in general and barely reached our room. Worth mentioning the towels have to be requested in the reception as they are not available in the room - just a small heads-up!,0,8,278,6/23/2022 9:46,,,,,,
84,B-esat-b,Poland,Deluxe Twin Room with Private Bathroom,2,Solo traveler,Oct-21,11-Oct-21,Weekend trip,It is easily accessible to the old town only 2 stops or walk 7 min.,there were no towels and no soap in the bathroom,0,7,278,6/23/2022 9:46,,,,,,
85,Hüseynov,Poland,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,1,Solo traveler,Oct-21,6-Oct-21,My jacket stole by someone and any staff did nothing,,,0,1,278,6/23/2022 9:46,,,,,,
86,Agnieszka,Poland,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,2,Solo traveler,Oct-21,4-Oct-21,Good,,,0,7,278,6/23/2022 9:46,,,,,,
87,Daria,Poland,Twin Room with Private Bathroom,2,Group,Oct-21,3-Oct-21,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
88,Pankaj,Poland,Deluxe Twin Room with Private Bathroom,2,Group,Sep-21,1-Oct-21,Exceptional,Comfortable,Nothing,0,10,278,6/23/2022 9:46,,,,,,
89,Marcin,Italy,Deluxe Twin Room with Private Bathroom,1,Solo traveler,Sep-21,30-Sep-21,Very Good,Good location. Full equipped kitchen,Internet is very poor- around 8mbps and it sometimes disconnecting you. You can hear a phone call from room next to you.,5,8,278,6/23/2022 9:46,,,,,,
90,Will,United States of America,Twin Room with Private Bathroom,1,Solo traveler,Sep-21,28-Sep-21,"Comfortably outside the tourist zone, easy walk to almost everywhere in town","Smallish privare rooms, bright, very good bathrooms, good kitchen and equipment in very good condition, Super people at the reception which is open non-stop","As others said, no lounge to hang out in, and I don’t think there is any outside spaces, some people would like this, a nice quiet private stay in your own room.  Some problems with the Wi-Fi, depending on room location.",0,8,278,6/23/2022 9:46,,,,,,
91,Barbara,Poland,Bed in 8-Bed Dormitory Room with Private Bathroom,1,Solo traveler,Aug-21,27-Sep-21,Exceptional,"Staff at the reception was super helpful, let me change the room collecting a difference of price of course so paying not much more I’ve got to stay in a room with a private bathroom. The location is also good, close to the main square - 15mins walking distance.",,1,10,278,6/23/2022 9:46,,,,,,
92,Antonii,Ukraine,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,1,Solo traveler,Sep-21,27-Sep-21,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
93,Richard,Slovakia,Deluxe Twin Room with Private Bathroom,1,Solo traveler,Sep-21,21-Sep-21,Good,Price per night,"Tovels was not in the room, you have to go to reception for them.",0,7,278,6/23/2022 9:46,,,,,,
94,Oskar,Poland,Deluxe Quadruple Room with Private Bathroom,1,Group,Sep-21,14-Sep-21,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
95,Graham,United Kingdom,Deluxe Twin Room with Private Bathroom,2,Couple,Sep-21,13-Sep-21,nice location,"location. good transport links. 
cleanliness 
safety each floor has code aswell as front door 
breakfast was good takeaway bag. 
kitchen area with tea coffee facilities.","not the hotels fault by as central a bit noisy at times. 
have to ask for towels but provided
room was small but was the option we chose. bigger room were not available when we went.",0,8,278,6/23/2022 9:46,,,,,,
96,Dainius,Lithuania,Twin Room with Private Bathroom,1,Group,Sep-21,11-Sep-21,Exceptional,,,0,10,278,6/23/2022 9:46,,,,,,
97,Martyna,Poland,Twin Room with Private Bathroom,1,Solo traveler,Aug-21,9-Sep-21,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
98,Sara,United Kingdom,Twin Room with Private Bathroom,3,Couple,Aug-21,7-Sep-21,Bad,"The location was great, nice kitchen","dirty, mean staff, cold water at times, not much space, filthy, poor value for money because of how filthy it was",0,1,278,6/23/2022 9:46,,,,,,
99,Mikus,Latvia,Deluxe Twin Room with Private Bathroom,1,Couple,Sep-21,7-Sep-21,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
100,Mateusz,Poland,Deluxe Double Room with Private Bathroom,1,Solo traveler,Sep-21,5-Sep-21,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
101,Mark,United States of America,Deluxe Double Room with Private Bathroom,3,Couple,Dec-19,17-Dec-19,Very Good,"the hotel was very accommodating, room very clean, close to the center square, easy transportation",booking.com had the wrong phone number for the hotel so we could not call them to arrange for pick up had to take a  45 min bus ride to the hotel. that part very frustrating.,0,8,278,6/23/2022 9:46,,,,,,
102,Oleksandr,Ukraine,Standard Double Room with Private Bathroom,2,Couple,Dec-19,14-Dec-19,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
103,NULL,United Kingdom,NULL,3,Solo traveler,Dec-19,12-Dec-19,Exceptional,"15 mins walking distance to the main square of Kraków, I stayed here for 3 nights, staff where very friendly and helpful, the kitchen area offered free beverages, cooking appliances and a fridge to store food, which was a nice touch, for a cheap hostel I paid £30 for my stay rooms where very clean a locker to store your belongings you get a key which is attached to your door key, and for the extra security each floor has a combination number to enter the lobby for your room",There was nothing I didn’t like,2,10,278,6/23/2022 9:46,,,,,,
104,Rafal,Ireland,Standard Quadruple Room with Private Bathroom,2,Family,Dec-19,11-Dec-19,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
105,Anna,Ukraine,Standard Quadruple Room with Private Bathroom,2,Group,Dec-19,9-Dec-19,Good,,,0,7.5,278,6/23/2022 9:46,,,,,,
106,Eliade89,Romania,Twin Room with Private Bathroom,3,Family,Nov-19,7-Dec-19,Awesome!,"Best price and for what it offers.It is also located in a good location and you can reach city center by foot.",The room was quite small but this did not bother us at all because we only want a clean room for sleeping.,0,10,278,6/23/2022 9:46,,,,,,
107,Eriko,Japan,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,2,Solo traveler,Dec-19,5-Dec-19,"Clean, comfortable, easily accessible","Clean, comfortable and receptionist was nice!","There is no complaints but if it's possible, I would like to keep my luggage into the room before check-in time",0,9,278,6/23/2022 9:46,,,,,,
108,Ian,United Kingdom,Deluxe Single Room with Private Bathroom,5,Solo traveler,Dec-19,2-Dec-19,Ok to stay on a budget,You can hire board games from the reception to play in the commom rooms and it was quiet In the area I was staying. Also there was an elevator which saved the trouble of carrying luggage up the stairs also had a museum to visit there as well.,Rooms were not cleaned during my stay so I had a bin full of litter and dirty sheets throughout my stay. Also room could get cold some days and heating wasnt great. Breakfast was lacking in variety and was the same thing each day. Bathroom was small,0,7.1,278,6/23/2022 9:46,,,,,,
109,Nicolás,Chile,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,3,Solo traveler,Nov-19,1-Dec-19,Wonderful,,,0,9,278,6/23/2022 9:46,,,,,,
110,Krzysztof,United States of America,Deluxe Twin Room with Private Bathroom,5,Couple,Nov-19,28-Nov-19,Exceptional,It was clean and quit. Strongly recommend to others.,,0,10,278,6/23/2022 9:46,,,,,,
111,Márcia,Portugal,Twin Room with Private Bathroom,3,Group,Nov-19,25-Nov-19,Exceptional,,,0,10,278,6/23/2022 9:46,,,,,,
112,Chase,United States of America,Bed in Standard 4-Bed Dormitory Room with Private Bathroom,2,Solo traveler,Nov-19,24-Nov-19,great location! premium quality hostel!,great location. in suite bathroom. there is shuttle bus to airport nearby the hostel.,,0,9.2,278,6/23/2022 9:46,,,,,,
113,NULL,Poland,NULL,1,Solo traveler,Nov-19,21-Nov-19,Good,,,0,7.5,278,6/23/2022 9:46,,,,,,
114,Filip,Germany,Standard Double Room with Private Bathroom,1,Couple,Nov-19,18-Nov-19,"Perfect place for young people, but not for couples and families",Clean room,"Water in the morning was just slightly warm and not hot, not possible to get breakfast the next day",0,6,278,6/23/2022 9:46,,,,,,
115,Varvara,Ukraine,Twin Room with Private Bathroom,2,Family,Nov-19,18-Nov-19,Wonderful,Very comfortable place for stay in Krakow. Highly recommend,Bad sound insulation,3,9,278,6/23/2022 9:46,,,,,,
116,Omar,Mexico,Deluxe Single Room with Private Bathroom,1,Solo traveler,Nov-19,15-Nov-19,Very Good,I think they need more people in the staff hostel.,Too many people was check in and only one person in the staff.,0,8.3,278,6/23/2022 9:46,,,,,,
117,Baghir,Azerbaijan,Single Bed in 4-Bed Dormitory Room with Bathroom,1,Solo traveler,Nov-19,13-Nov-19,Very Good,,,0,8,278,6/23/2022 9:46,,,,,,
118,Baghir,Azerbaijan,Bed in 8-Bed Dormitory Room with Private Bathroom,2,Solo traveler,Nov-19,13-Nov-19,Wonderful,"Very clean place, it’s like hotel",,0,9,278,6/23/2022 9:46,,,,,,
119,Alexander,Poland,Twin Room with Private Bathroom,1,Couple,Nov-19,13-Nov-19,Fair,,,0,5,278,6/23/2022 9:46,,,,,,
120,William,United Kingdom,Deluxe Twin Room with Private Bathroom,5,Group,Oct-19,12-Nov-19,Excellent,Friendly and helpful staff,small rooms only one pillow...,0,8.8,278,6/23/2022 9:46,,,,,,
